Une maison après la mienne,Véronique Sanson,1976,https://genius.com/Veronique-sanson-une-maison-apres-la-mienne-lyrics
Une maison perdue ...,Indochine,1987,https://genius.com/Indochine-une-maison-perdue-lyrics
Une minute de soleil en plus,Pierre Perret,2002,https://genius.com/Pierre-perret-une-minute-de-soleil-en-plus-lyrics
Une miss s’immisce,Françoise Hardy,1988,https://genius.com/Francoise-hardy-une-miss-simmisce-lyrics
Une morte dans la neige,Jean-Michel Jarre,1973,https://genius.com/Jean-michel-jarre-une-morte-dans-la-neige-lyrics
Une nuit de carnaval,Julio Iglésias,1980,https://genius.com/Julio-iglesias-une-nuit-de-carnaval-lyrics
Une nuit près de toi,David Hallyday,2007,https://genius.com/David-hallyday-une-nuit-pres-de-toi-lyrics
Une nuit sur son épaule,Véronique Sanson,1972,https://genius.com/Veronique-sanson-une-nuit-sur-son-epaule-lyrics
Une odeur de neige,Véronique Sanson,1992,https://genius.com/Veronique-sanson-odeur-de-neige-lyrics
Une petite cantate,Barbara,1964,https://genius.com/Barbara-une-petite-cantate-lyrics
Une petite fée,Julien Clerc,2008,https://genius.com/Julien-clerc-une-petite-fee-lyrics
Une petite fille,Claude Nougaro,1962,https://genius.com/Claude-nougaro-une-petite-fille-lyrics
Une petite fille,Natasha St-Pier,2012,https://genius.com/Natasha-st-pier-une-petite-fille-lyrics
Une petite fille aux yeux rouges,Claude François,1969,https://genius.com/Claude-francois-une-petite-fille-aux-yeux-rouges-lyrics
Une petite fille modèle,Gérard Lenorman,1975,https://genius.com/Gerard-lenorman-une-petite-fille-modele-lyrics
Une petite Française,Michèle Torr,1977,https://genius.com/Michele-torr-une-petite-francaise-lyrics
Une petite larme m'a trahi,Claude François,1969,https://genius.com/Claude-francois-une-petite-larme-ma-trahi-lyrics
Une petite perle,Richard Gotainer,1997,https://genius.com/Richard-gotainer-une-petite-perle-lyrics
Une place pour moi,Florent Pagny,1998,https://genius.com/Florent-pagny-une-place-pour-moi-lyrics
Une plage,Elodie Frégé,2013,https://genius.com/Elodie-frege-une-plage-lyrics
Une première danse,Charles Aznavour,1982,https://genius.com/Charles-aznavour-une-premiere-danse-lyrics
Une prière,Axel Bauer,2000,https://genius.com/Axel-bauer-une-priere-lyrics
Une provinciale de petite bourgeoisie,Hubert-Félix Thiéfaine,1993,https://genius.com/Hubert-felix-thiefaine-une-provinciale-de-petite-bourgeoisie-lyrics
Une question de temps,Patricia Kaas,2003,https://genius.com/Patricia-kaas-une-question-de-temps-lyrics
